Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1.92012e-06,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-2.795e-04,-0.84,-0.7
-2.775e-04,-0.8,-1
-2.756e-04,-0.92,-0.78
-2.737e-04,-0.92,-0.98
-2.718e-04,-0.88,-0.84
-2.699e-04,-0.9,-0.96
-2.679e-04,-0.76,-0.7
-2.660e-04,-0.76,-0.8
-2.641e-04,-0.68,-0.62
-2.622e-04,-0.8,-0.84
-2.603e-04,-0.72,-0.66
-2.583e-04,-0.76,-0.76
-2.564e-04,-0.62,-0.58
-2.545e-04,-0.7,-0.9
-2.526e-04,-0.78,-0.64
-2.507e-04,-0.86,-0.9
-2.487e-04,-0.74,-0.72
-2.468e-04,-0.86,-0.9
-2.449e-04,-0.82,-0.68
-2.430e-04,-0.72,-0.86
-2.411e-04,-0.8,-0.68
-2.391e-04,-0.8,-0.84
-2.372e-04,-0.78,-0.7
-2.353e-04,-0.74,-0.86
-2.334e-04,-0.82,-0.7
-2.315e-04,-0.74,-0.9
-2.295e-04,-0.86,-0.7
-2.276e-04,-0.8,-0.88
-2.257e-04,-0.78,-0.68
-2.238e-04,-0.76,-0.84
-2.219e-04,-0.84,-0.7
-2.199e-04,-0.76,-0.92
-2.180e-04,-0.86,-0.7
-2.161e-04,-0.8,-0.88
-2.142e-04,-0.82,-0.74
-2.123e-04,-0.84,-0.94
-2.103e-04,-0.86,-0.78
-2.084e-04,-0.92,-0.94
-2.065e-04,-0.84,-0.78
-2.046e-04,-0.88,-0.9
-2.027e-04,-0.78,-0.76
-2.007e-04,-0.82,-0.86
-1.988e-04,-0.74,-0.7
-1.969e-04,-0.82,-0.9
-1.950e-04,-0.82,-0.72
-1.931e-04,-0.72,-0.78
-1.911e-04,-0.7,-0.64
-1.892e-04,-0.68,-0.9
-1.873e-04,-0.82,-0.68
-1.854e-04,-0.82,-0.9
-1.835e-04,-0.84,-0.76
-1.815e-04,-0.78,-0.92
-1.796e-04,-0.82,-0.72
-1.777e-04,-0.84,-0.94
-1.758e-04,-0.9,-0.78
-1.739e-04,-0.82,-0.92
-1.719e-04,-0.86,-0.74
-1.700e-04,-0.8,-0.92
-1.681e-04,-0.84,-0.76
-1.662e-04,-0.86,-0.9
-1.643e-04,-0.8,-0.76
-1.623e-04,-0.86,-1.06
-1.604e-04,-0.86,-0.78
-1.585e-04,-1.04,-1.12
-1.566e-04,-0.94,-0.92
-1.547e-04,-1.08,-1.12
-1.527e-04,-0.92,-0.78
-1.508e-04,-0.86,-0.88
-1.489e-04,-0.8,-0.72
-1.470e-04,-0.8,-0.86
-1.451e-04,-0.74,-0.7
-1.431e-04,-0.8,-0.88
-1.412e-04,-0.84,-0.76
-1.393e-04,-0.76,-0.8
-1.374e-04,-0.66,-0.6
-1.355e-04,-0.68,-0.9
-1.335e-04,-0.74,-0.64
-1.316e-04,-0.8,-0.92
-1.297e-04,-0.88,-0.7
-1.278e-04,-0.72,-0.82
-1.259e-04,-0.82,-0.68
-1.239e-04,-0.7,-0.78
-1.220e-04,-0.68,-0.6
-1.201e-04,-0.74,-0.86
-1.182e-04,-0.8,-0.7
-1.163e-04,-0.82,-0.94
-1.143e-04,-0.82,-0.78
-1.124e-04,-0.9,-0.94
-1.105e-04,-0.86,-0.8
-1.086e-04,-0.92,-1.02
-1.067e-04,-0.86,-0.82
-1.047e-04,-1,-1.04
