Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.000384025,
Filter Frequency,7e+07,
Record Length,5208,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.0265e-01,-0.98,-1.22
-1.0227e-01,-0.96,-0.72
-1.0188e-01,-1.06,-1.26
-1.0150e-01,-0.96,-0.74
-1.0111e-01,-0.98,-1.28
-1.0073e-01,-1.02,-0.78
-1.0035e-01,-1,-1.28
-9.9961e-02,-1,-0.8
-9.9577e-02,-0.96,-1.22
-9.9193e-02,-0.82,-0.76
-9.8809e-02,-1.08,-1.22
-9.8425e-02,-1,-0.78
-9.8041e-02,-1,-1.24
-9.7657e-02,-1.06,-0.74
-9.7273e-02,-1.08,-1.24
-9.6889e-02,-1.04,-0.74
-9.6505e-02,-1.02,-1.26
-9.6121e-02,-1.06,-0.76
-9.5737e-02,-1.02,-1.22
-9.5353e-02,-0.9,-0.76
-9.4969e-02,-1.02,-1.26
-9.4585e-02,-1.22,-0.76
-9.4201e-02,-0.94,-1.26
-9.3817e-02,-1.02,-0.72
-9.3433e-02,-0.94,-1.24
-9.3049e-02,-1.04,-0.76
-9.2665e-02,-1.12,-1.24
-9.2281e-02,-1.02,-0.78
-9.1897e-02,-1.06,-1.26
-9.1513e-02,-1.02,-0.78
-9.1129e-02,-1.02,-1.24
-9.0745e-02,-0.96,-0.72
-9.0361e-02,-0.98,-1.26
-8.9977e-02,-1.06,-0.74
-8.9593e-02,-0.88,-1.26
-8.9209e-02,-0.94,-0.72
-8.8825e-02,-1.08,-1.24
-8.8441e-02,-0.9,-0.76
-8.8057e-02,-0.86,-1.28
-8.7673e-02,-0.86,-0.78
-8.7288e-02,-1,-1.24
-8.6904e-02,-0.98,-0.74
-8.6520e-02,-1.02,-1.22
-8.6136e-02,-0.92,-0.76
-8.5752e-02,-0.9,-1.3
-8.5368e-02,-1,-0.76
-8.4984e-02,-1,-1.24
-8.4600e-02,-0.98,-0.76
-8.4216e-02,-0.98,-1.3
-8.3832e-02,-1.02,-0.72
-8.3448e-02,-0.96,-1.26
-8.3064e-02,-1,-0.74
-8.2680e-02,-0.88,-1.28
-8.2296e-02,-1.02,-0.68
-8.1912e-02,-0.98,-1.22
-8.1528e-02,-0.98,-0.74
-8.1144e-02,-0.78,-1.28
-8.0760e-02,-1.08,-0.72
-8.0376e-02,-1.02,-1.22
-7.9992e-02,-0.94,-0.72
-7.9608e-02,-0.96,-1.28
-7.9224e-02,-0.94,-0.8
-7.8840e-02,-0.98,-1.28
-7.8456e-02,-0.96,-0.74
-7.8072e-02,-0.86,-1.3
-7.7688e-02,-0.9,-0.7
-7.7304e-02,-0.96,-1.3
-7.6920e-02,-0.96,-0.74
-7.6536e-02,-0.98,-1.22
-7.6152e-02,-0.94,-0.78
-7.5768e-02,-1.08,-1.28
-7.5384e-02,-1.02,-0.74
-7.5000e-02,-1.1,-1.36
-7.4616e-02,-1.14,-0.72
-7.4232e-02,-0.92,-1.26
-7.3848e-02,-0.82,-0.76
-7.3464e-02,-1,-1.24
-7.3080e-02,-0.96,-0.76
-7.2696e-02,-1.04,-1.32
-7.2312e-02,-1,-0.78
-7.1927e-02,-0.98,-1.24
-7.1543e-02,-1.06,-0.78
-7.1159e-02,-0.96,-1.3
-7.0775e-02,-1.02,-0.78
-7.0391e-02,-0.94,-1.24
-7.0007e-02,-0.86,-0.78
-6.9623e-02,-0.94,-1.22
-6.9239e-02,-0.96,-0.74
-6.8855e-02,-1,-1.24
-6.8471e-02,-1.06,-0.8
-6.8087e-02,-1.02,-1.26
-6.7703e-02,-1.02,-0.76
-6.7319e-02,-1.08,-1.24
-6.6935e-02,-0.98,-0.74
-6.6551e-02,-0.94,-1.24
-6.6167e-02,-1.04,-0.72
-6.5783e-02,-0.98,-1.24
-6.5399e-02,-1.04,-0.76
-6.5015e-02,-0.96,-1.3
-6.4631e-02,-1.08,-0.8
-6.4247e-02,-0.92,-1.22
-6.3863e-02,-1.1,-0.74
-6.3479e-02,-1.06,-1.26
-6.3095e-02,-1.1,-0.76
-6.2711e-02,-1,-1.24
-6.2327e-02,-0.98,-0.68
-6.1943e-02,-1.04,-1.26
-6.1559e-02,-0.94,-0.74
-6.1175e-02,-1.14,-1.24
-6.0791e-02,-1.02,-0.78
-6.0407e-02,-1,-1.26
-6.0023e-02,-0.94,-0.74
-5.9639e-02,-0.96,-1.22
-5.9255e-02,-0.98,-0.76
-5.8871e-02,-1.06,-1.28
-5.8487e-02,-1.02,-0.76
-5.8103e-02,-1.1,-1.22
-5.7719e-02,-0.98,-0.76
-5.7335e-02,-1,-1.26
-5.6951e-02,-1.02,-0.78
-5.6567e-02,-0.96,-1.26
-5.6182e-02,-0.98,-0.7
-5.5798e-02,-1.1,-1.24
-5.5414e-02,-1,-0.76
-5.5030e-02,-1.08,-1.3
-5.4646e-02,-0.98,-0.72
-5.4262e-02,-0.96,-1.2
-5.3878e-02,-0.98,-0.74
-5.3494e-02,-0.92,-1.24
-5.3110e-02,-1.14,-0.72
-5.2726e-02,-1.02,-1.28
-5.2342e-02,-0.98,-0.76
-5.1958e-02,-0.88,-1.28
-5.1574e-02,-0.88,-0.76
-5.1190e-02,-0.98,-1.24
-5.0806e-02,-0.9,-0.8
-5.0422e-02,-1,-1.22
-5.0038e-02,-0.94,-0.8
-4.9654e-02,-1,-1.24
-4.9270e-02,-1.06,-0.76
-4.8886e-02,-1.1,-1.28
-4.8502e-02,-1.1,-0.74
-4.8118e-02,-1,-1.3
-4.7734e-02,-0.98,-0.78
-4.7350e-02,-0.98,-1.28
-4.6966e-02,-1.02,-0.72
-4.6582e-02,-0.94,-1.24
-4.6198e-02,-0.96,-0.74
-4.5814e-02,-1.06,-1.26
-4.5430e-02,-1.04,-0.76
-4.5046e-02,-0.94,-1.24
-4.4662e-02,-0.92,-0.74
-4.4278e-02,-1,-1.28
-4.3894e-02,-1.06,-0.76
-4.3510e-02,-1.06,-1.26
-4.3126e-02,-0.96,-0.72
-4.2742e-02,-1,-1.3
-4.2358e-02,-0.94,-0.72
-4.1974e-02,-0.94,-1.24
-4.1590e-02,-1.04,-0.72
-4.1206e-02,-1,-1.28
-4.0822e-02,-0.98,-0.76
-4.0437e-02,-0.88,-1.22
-4.0053e-02,-1.06,-0.76
-3.9669e-02,-0.98,-1.24
-3.9285e-02,-1,-0.8
-3.8901e-02,-0.96,-1.26
-3.8517e-02,-1,-0.76
-3.8133e-02,-0.92,-1.2
-3.7749e-02,-1.02,-0.76
-3.7365e-02,-1.02,-1.22
-3.6981e-02,-0.96,-0.76
-3.6597e-02,-1.04,-1.26
-3.6213e-02,-0.96,-0.8
-3.5829e-02,-1.02,-1.24
-3.5445e-02,-1,-0.7
-3.5061e-02,-1.04,-1.26
-3.4677e-02,-1.04,-0.74
-3.4293e-02,-0.9,-1.3
-3.3909e-02,-1.08,-0.78
-3.3525e-02,-1.06,-1.26
-3.3141e-02,-0.94,-0.74
-3.2757e-02,-0.98,-1.26
-3.2373e-02,-0.98,-0.74
-3.1989e-02,-1.04,-1.24
-3.1605e-02,-1.08,-0.78
-3.1221e-02,-1.02,-1.3
-3.0837e-02,-0.98,-0.76
-3.0453e-02,-1.06,-1.3
-3.0069e-02,-0.92,-0.76
-2.9685e-02,-1,-1.26
-2.9301e-02,-1.1,-0.76
-2.8917e-02,-1.06,-1.24
-2.8533e-02,-1.02,-0.78
-2.8149e-02,-1.06,-1.26
-2.7765e-02,-0.98,-0.74
-2.7381e-02,-0.98,-1.22
-2.6997e-02,-1.02,-0.76
-2.6613e-02,-1.02,-1.22
-2.6229e-02,-1.04,-0.78
-2.5845e-02,-1,-1.26
-2.5461e-02,-0.92,-0.76
-2.5076e-02,-0.96,-1.26
-2.4692e-02,-1,-0.76
-2.4308e-02,-0.98,-1.24
-2.3924e-02,-0.92,-0.74
-2.3540e-02,-1.1,-1.22
-2.3156e-02,-1.04,-0.7
-2.2772e-02,-1.02,-1.26
-2.2388e-02,-1,-0.74
-2.2004e-02,-1.1,-1.22
-2.1620e-02,-0.96,-0.76
-2.1236e-02,-1.08,-1.28
-2.0852e-02,-1,-0.72
-2.0468e-02,-0.96,-1.22
-2.0084e-02,-0.98,-0.78
-1.9700e-02,-1.06,-1.26
-1.9316e-02,-0.94,-0.74
-1.8932e-02,-0.96,-1.28
-1.8548e-02,-0.9,-0.74
-1.8164e-02,-1,-1.24
-1.7780e-02,-1.1,-0.74
-1.7396e-02,-1,-1.26
-1.7012e-02,-0.96,-0.76
-1.6628e-02,-0.98,-1.24
-1.6244e-02,-1.04,-0.74
-1.5860e-02,-1.04,-1.22
-1.5476e-02,-1.02,-0.72
-1.5092e-02,-1.04,-1.22
-1.4708e-02,-1.02,-0.78
-1.4324e-02,-1,-1.2
-1.3940e-02,-0.98,-0.74
-1.3556e-02,-1,-1.24
-1.3172e-02,-0.9,-0.74
-1.2788e-02,-1.02,-1.22
-1.2404e-02,-0.98,-0.76
-1.2020e-02,-0.98,-1.24
-1.1636e-02,-1.02,-0.72
-1.1252e-02,-0.9,-1.22
-1.0868e-02,-0.96,-0.74
-1.0484e-02,-0.98,-1.22
-1.0100e-02,-0.98,-0.74
-9.7155e-03,-1,-1.22
-9.3315e-03,-0.96,-0.76
-8.9475e-03,-0.98,-1.28
-8.5634e-03,-1.12,-0.78
-8.1794e-03,-1.06,-1.28
-7.7954e-03,-0.96,-0.74
-7.4114e-03,-0.94,-1.26
-7.0273e-03,-0.94,-0.74
-6.6433e-03,-1,-1.24
-6.2593e-03,-1.04,-0.76
-5.8753e-03,-1.06,-1.22
-5.4912e-03,-0.92,-0.72
-5.1072e-03,-0.88,-1.22
-4.7232e-03,-1.02,-0.7
-4.3392e-03,-1.06,-1.28
-3.9551e-03,-1.08,-0.78
-3.5711e-03,-1.04,-1.24
-3.1871e-03,-0.94,-0.76
-2.8031e-03,-1,-1.26
-2.4190e-03,-0.98,-0.76
-2.0350e-03,-1.02,-1.26
-1.6510e-03,-0.98,-0.76
-1.2670e-03,-0.96,-1.22
-8.8295e-04,-1.04,-0.74
-4.9892e-04,-1.04,-3.52
-1.1490e-04,1.56,1.56
2.6912e-04,-1.06,-1.16
6.5315e-04,-0.8,-0.64
1.0372e-03,-0.84,-1.2
1.4212e-03,-0.84,-0.6
1.8052e-03,-0.88,-1.2
