Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.2,
Sample Interval,0.000384025,
Filter Frequency,7e+07,
Record Length,5207,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-2.2594e-01,-0.88,-1.16
-2.2556e-01,-1.08,-0.72
-2.2517e-01,-0.96,-1.18
-2.2479e-01,-0.94,-0.68
-2.2441e-01,-0.92,-1.14
-2.2402e-01,-0.92,-0.66
-2.2364e-01,-0.98,-1.2
-2.2325e-01,-0.86,-0.68
-2.2287e-01,-0.82,-1.14
-2.2249e-01,-0.92,-0.66
-2.2210e-01,-0.8,-1.22
-2.2172e-01,-0.9,-0.66
-2.2133e-01,-0.86,-1.14
-2.2095e-01,-0.96,-0.68
-2.2057e-01,-0.88,-1.2
-2.2018e-01,-0.92,-0.68
-2.1980e-01,-0.86,-1.18
-2.1941e-01,-0.82,-0.64
-2.1903e-01,-0.88,-1.18
-2.1865e-01,-0.92,-0.7
-2.1826e-01,-0.88,-1.18
-2.1788e-01,-0.92,-0.68
-2.1749e-01,-1,-1.18
-2.1711e-01,-0.88,-0.66
-2.1673e-01,-0.86,-1.16
-2.1634e-01,-0.9,-0.66
-2.1596e-01,-0.98,-1.2
-2.1557e-01,-0.88,-0.68
-2.1519e-01,-0.92,-1.18
-2.1481e-01,-0.86,-0.66
-2.1442e-01,-0.84,-1.14
-2.1404e-01,-0.94,-0.62
-2.1365e-01,-0.88,-1.22
-2.1327e-01,-0.9,-0.66
-2.1289e-01,-0.88,-1.22
-2.1250e-01,-0.86,-0.66
-2.1212e-01,-0.82,-1.2
-2.1173e-01,-1.12,-0.64
-2.1135e-01,-0.92,-1.16
-2.1097e-01,-0.9,-0.7
-2.1058e-01,-0.86,-1.2
-2.1020e-01,-1.02,-0.66
-2.0981e-01,-0.96,-1.2
-2.0943e-01,-1,-0.68
-2.0905e-01,-0.84,-1.12
-2.0866e-01,-0.84,-0.62
-2.0828e-01,-0.86,-1.16
-2.0789e-01,-0.94,-0.66
-2.0751e-01,-0.94,-1.24
-2.0713e-01,-0.94,-0.68
-2.0674e-01,-0.78,-1.18
-2.0636e-01,-0.86,-0.66
-2.0597e-01,-0.98,-1.22
-2.0559e-01,-0.94,-0.66
-2.0521e-01,-0.94,-1.14
-2.0482e-01,-0.84,-0.64
-2.0444e-01,-0.92,-1.16
-2.0405e-01,-0.94,-0.64
-2.0367e-01,-0.98,-1.14
-2.0329e-01,-0.98,-0.66
-2.0290e-01,-0.84,-1.18
-2.0252e-01,-0.88,-0.68
-2.0213e-01,-0.96,-1.14
-2.0175e-01,-0.94,-0.72
-2.0137e-01,-0.9,-1.18
-2.0098e-01,-0.76,-0.66
-2.0060e-01,-0.8,-1.2
-2.0021e-01,-0.98,-0.68
