Model,DPO2002B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.01,
Sample Interval,1.92012e-05,
Filter Frequency,7e+07,
Record Length,5208,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0.6,
Vertical Scale,0.5,
Label,,
TIME,CH1,CH1 Peak Detect
-4.556e-03,-1.02,-1.14
-4.537e-03,-0.96,-0.78
-4.518e-03,-1.08,-1.14
-4.499e-03,-1,-0.82
-4.480e-03,-1.06,-1.18
-4.460e-03,-1.06,-0.88
-4.441e-03,-0.94,-1.08
-4.422e-03,-0.84,-0.78
-4.403e-03,-0.96,-1.12
-4.384e-03,-0.88,-0.84
-4.364e-03,-1.1,-1.14
-4.345e-03,-0.96,-0.74
-4.326e-03,-0.98,-1.12
-4.307e-03,-1.1,-0.74
-4.288e-03,-0.76,-1.14
-4.268e-03,-1.08,-0.72
-4.249e-03,-0.9,-1.1
-4.230e-03,-0.9,-0.78
-4.211e-03,-1.1,-1.2
-4.192e-03,-0.94,-0.86
-4.172e-03,-1.18,-1.22
-4.153e-03,-1,-0.84
-4.134e-03,-0.88,-1.08
-4.115e-03,-0.96,-0.78
-4.096e-03,-0.88,-1.06
-4.076e-03,-0.9,-0.82
-4.057e-03,-0.96,-1.22
-4.038e-03,-0.94,-0.8
-4.019e-03,-0.98,-1.16
-4.000e-03,-0.96,-0.82
-3.980e-03,-1.02,-1.14
-3.961e-03,-1.08,-0.84
-3.942e-03,-0.92,-1.04
-3.923e-03,-0.86,-0.78
-3.904e-03,-0.82,-1.1
-3.884e-03,-1,-0.76
-3.865e-03,-0.92,-1.12
-3.846e-03,-0.92,-0.78
-3.827e-03,-0.94,-1.08
-3.808e-03,-0.98,-0.82
-3.788e-03,-1,-1.12
-3.769e-03,-0.88,-0.76
-3.750e-03,-0.98,-1.1
-3.731e-03,-0.98,-0.82
-3.712e-03,-1.06,-1.22
-3.692e-03,-0.88,-0.84
-3.673e-03,-1.1,-1.14
-3.654e-03,-1.08,-0.84
-3.635e-03,-0.92,-1.08
-3.616e-03,-1.04,-0.84
-3.596e-03,-0.96,-1.16
-3.577e-03,-0.98,-0.82
-3.558e-03,-0.96,-1.06
-3.539e-03,-0.94,-0.8
-3.520e-03,-1,-1.14
-3.500e-03,-0.96,-0.86
-3.481e-03,-0.92,-1.14
-3.462e-03,-1.08,-0.78
-3.443e-03,-0.88,-1.1
-3.424e-03,-0.98,-0.78
-3.404e-03,-0.92,-1.24
-3.385e-03,-0.92,-0.86
-3.366e-03,-0.92,-1.16
-3.347e-03,-1.02,-0.8
-3.328e-03,-1,-1.18
-3.308e-03,-0.94,-0.84
-3.289e-03,-0.9,-1.18
-3.270e-03,-1,-0.8
-3.251e-03,-0.96,-1.16
-3.232e-03,-0.9,-0.82
-3.212e-03,-1,-1.14
-3.193e-03,-1.04,-0.8
-3.174e-03,-1.08,-1.18
-3.155e-03,-1.04,-0.86
-3.136e-03,-0.92,-1.16
-3.116e-03,-1.08,-0.82
-3.097e-03,-0.96,-1.14
-3.078e-03,-1,-0.82
-3.059e-03,-1.02,-1.18
-3.040e-03,-0.9,-0.82
-3.020e-03,-1.16,-1.22
-3.001e-03,-0.98,-0.86
-2.982e-03,-0.98,-1.18
-2.963e-03,-0.98,-0.82
-2.944e-03,-0.94,-1.1
-2.924e-03,-0.98,-0.84
-2.905e-03,-0.94,-1.16
-2.886e-03,-1,-0.88
-2.867e-03,-0.94,-1.12
-2.848e-03,-1.02,-0.86
-2.828e-03,-1,-1.16
-2.809e-03,-1.04,-0.86
-2.790e-03,-0.94,-1.16
-2.771e-03,-0.88,-0.8
-2.752e-03,-1.1,-1.16
-2.732e-03,-0.9,-0.82
-2.713e-03,-1,-1.16
-2.694e-03,-0.98,-0.86
-2.675e-03,-1.08,-1.22
-2.656e-03,-1.08,-0.82
-2.636e-03,-1,-1.1
-2.617e-03,-0.92,-0.8
-2.598e-03,-0.92,-1.14
-2.579e-03,-1.1,-0.8
-2.560e-03,-0.98,-1.28
-2.540e-03,-1.2,-0.92
-2.521e-03,-1.04,-1.18
-2.502e-03,-1.12,-0.86
-2.483e-03,-1.04,-1.14
-2.464e-03,-0.92,-0.84
-2.444e-03,-1.08,-1.18
-2.425e-03,-1.02,-0.82
-2.406e-03,-0.98,-1.1
-2.387e-03,-0.96,-0.8
-2.367e-03,-1.02,-1.1
-2.348e-03,-0.94,-0.86
-2.329e-03,-0.98,-1.14
-2.310e-03,-1,-0.78
-2.291e-03,-1.06,-1.1
-2.271e-03,-0.9,-0.78
-2.252e-03,-0.86,-1.1
-2.233e-03,-1.04,-0.76
-2.214e-03,-0.9,-1.16
-2.195e-03,-1,-0.84
-2.175e-03,-1.04,-1.18
-2.156e-03,-1.06,-0.76
-2.137e-03,-1,-1.12
-2.118e-03,-0.92,-0.82
-2.099e-03,-0.98,-1.12
-2.079e-03,-0.98,-0.88
-2.060e-03,-0.98,-1.22
-2.041e-03,-1.02,-0.78
-2.022e-03,-1.02,-1.14
-2.003e-03,-0.94,-0.8
-1.983e-03,-0.94,-1.12
-1.964e-03,-1,-0.84
-1.945e-03,-1,-1.28
-1.926e-03,-0.84,-0.8
-1.907e-03,-1.16,-1.2
-1.887e-03,-1.04,-0.86
-1.868e-03,-0.88,-1.2
-1.849e-03,-1.04,-0.86
-1.830e-03,-1.04,-1.14
-1.811e-03,-0.98,-0.78
-1.791e-03,-1.02,-1.12
-1.772e-03,-1.02,-0.82
-1.753e-03,-1.06,-1.14
-1.734e-03,-0.96,-0.8
-1.715e-03,-0.9,-1.14
-1.695e-03,-0.88,-0.78
-1.676e-03,-0.9,-1.08
-1.657e-03,-0.98,-0.82
-1.638e-03,-1,-1.16
-1.619e-03,-1,-0.82
-1.599e-03,-0.9,-1.16
-1.580e-03,-1.02,-0.8
-1.561e-03,-1.16,-1.28
-1.542e-03,-0.94,-0.76
-1.523e-03,-0.82,-1.1
-1.503e-03,-1.06,-0.78
-1.484e-03,-1,-1.18
-1.465e-03,-0.98,-0.78
-1.446e-03,-1.06,-1.16
-1.427e-03,-1,-0.82
-1.407e-03,-0.96,-1.1
-1.388e-03,-0.94,-0.8
-1.369e-03,-0.94,-1.14
-1.350e-03,-1.04,-0.86
-1.331e-03,-0.88,-1.16
-1.311e-03,-1.04,-0.78
-1.292e-03,-0.9,-1.12
-1.273e-03,-0.98,-0.8
-1.254e-03,-1.02,-1.14
-1.235e-03,-1.04,-0.84
-1.215e-03,-1.02,-1.14
-1.196e-03,-1,-0.86
-1.177e-03,-1.04,-1.16
-1.158e-03,-1.02,-0.86
-1.139e-03,-1.04,-1.16
-1.119e-03,-0.88,-0.8
-1.100e-03,-0.98,-1.2
-1.081e-03,-0.92,-0.74
-1.062e-03,-1.16,-1.2
-1.043e-03,-0.98,-0.86
-1.023e-03,-1.02,-1.14
-1.004e-03,-1.12,-0.86
-9.850e-04,-0.96,-1.14
-9.658e-04,-1.06,-0.8
-9.466e-04,-0.96,-1.16
-9.274e-04,-0.98,-0.82
-9.082e-04,-1.14,-1.32
-8.890e-04,-0.96,-0.9
-8.698e-04,-1.04,-1.2
-8.506e-04,-0.98,-0.88
-8.314e-04,-1,-1.16
-8.122e-04,-0.92,-0.72
-7.930e-04,-0.98,-1.12
-7.738e-04,-0.92,-0.84
-7.546e-04,-1.04,-1.16
-7.354e-04,-1.02,-0.9
-7.162e-04,-1.1,-1.14
-6.970e-04,-0.92,-0.84
-6.778e-04,-0.96,-1.12
-6.586e-04,-1,-0.8
-6.394e-04,-0.88,-1.14
-6.202e-04,-0.9,-0.78
-6.010e-04,-1,-1.24
-5.818e-04,-1.04,-0.86
-5.626e-04,-0.96,-1.18
-5.434e-04,-0.96,-0.86
-5.242e-04,-1.04,-1.12
-5.050e-04,-0.92,-0.84
-4.858e-04,-1,-1.16
-4.666e-04,-1.02,-0.82
-4.474e-04,-0.94,-1.06
-4.282e-04,-0.96,-0.84
-4.090e-04,-0.94,-1.16
-3.898e-04,-0.98,-0.88
-3.706e-04,-1.14,-1.18
-3.514e-04,-0.96,-0.82
-3.322e-04,-1.06,-1.12
-3.130e-04,-0.98,-0.88
-2.938e-04,-1.06,-1.2
-2.746e-04,-0.98,-0.86
-2.554e-04,-0.92,-1.12
-2.362e-04,-0.92,-0.82
-2.170e-04,-0.96,-1.18
-1.978e-04,-1.06,-0.86
-1.786e-04,-0.94,-1.12
-1.594e-04,-0.96,-0.8
-1.402e-04,-0.92,-1.12
-1.210e-04,-1.1,-0.82
-1.018e-04,-1,-1.18
-8.255e-05,-1.02,-0.84
-6.335e-05,-0.92,-1.22
-4.415e-05,-1.1,-0.8
-2.495e-05,-1.06,-1.6
-5.745e-06,-0.94,1.56
1.346e-05,1.56,-3.52
3.266e-05,-3.52,1.56
5.186e-05,0.78,-0.9
7.106e-05,-0.6,0.82
9.026e-05,-0.68,-0.96
1.095e-04,-0.86,-0.52
1.287e-04,-0.78,-1
1.479e-04,-0.82,-0.74
1.671e-04,-0.84,-1.04
1.863e-04,-0.78,-0.66
2.055e-04,-0.88,-1.14
2.247e-04,-0.92,-0.72
2.439e-04,-0.84,-1.08
2.631e-04,-1.02,-0.78
2.823e-04,-1.06,-1.2
3.015e-04,-0.98,-0.8
3.207e-04,-1.02,-1.12
3.399e-04,-1.02,-0.84
3.591e-04,-1.04,-1.12
3.783e-04,-0.86,-0.82
3.975e-04,-0.94,-1.12
4.167e-04,-1,-0.8
4.359e-04,-0.88,-1.12
4.551e-04,-0.96,-0.78
4.743e-04,-1.02,-1.14
4.935e-04,-0.96,-0.84
5.127e-04,-0.88,-1.1
5.319e-04,-0.86,-0.78
5.511e-04,-0.9,-1.24
5.703e-04,-1,-0.82
5.895e-04,-0.98,-1.12
6.087e-04,-1.02,-0.86
6.279e-04,-0.96,-1.16
6.471e-04,-0.96,-0.82
6.663e-04,-1.02,-1.1
6.855e-04,-0.92,-0.82
7.047e-04,-0.96,-1.1
7.239e-04,-0.92,-0.7
7.431e-04,-0.94,-1.14
7.623e-04,-0.96,-0.78
7.815e-04,-0.92,-1.1
8.007e-04,-0.94,-0.8
8.199e-04,-0.96,-1.12
8.391e-04,-0.9,-0.74
8.583e-04,-0.96,-1.06
8.775e-04,-0.96,-0.76
8.967e-04,-0.9,-1.1
9.159e-04,-1.06,-0.72
9.351e-04,-0.96,-1.08
9.543e-04,-0.9,-0.78
9.735e-04,-0.94,-1.1
9.927e-04,-1.04,-0.82
1.012e-03,-0.98,-1.1
1.031e-03,-0.96,-0.68
1.050e-03,-0.86,-1.12
1.070e-03,-0.88,-0.76
1.089e-03,-1.04,-1.12
1.108e-03,-0.96,-0.76
1.127e-03,-0.96,-1.12
